Date,Temperature
19720101:0900,19.4
19720102:0900,19.4
19720103:0900,18.7
19720104:0900,19.1
19720105:0900,18.5
19720106:0900,17.6
19720107:0900,16.3
19720108:0900,12.5
19720109:0900,14.6
19720110:0900,16.7
19720111:0900,17.7
19720112:0900,15.9
19720113:0900,18.8
19720114:0900,17.9
19720115:0900,14.3
19720116:0900,15
19720117:0900,16.7
19720118:0900,18
19720119:0900,18.8
19720120:0900,17.7
19720121:0900,15.4
19720122:0900,15.8
19720123:0900,15.8
19720124:0900,15
19720125:0900,17.6
19720126:0900,16.8
19720127:0900,16.1
19720128:0900,19.1
19720129:0900,18.3
19720130:0900,13.8
19720131:0900,15.5
19720201:0900,14.4
19720202:0900,12.7
19720203:0900,14
19720204:0900,15
19720205:0900,16.4
19720206:0900,15
19720207:0900,14.7
19720208:0900,14.9
19720209:0900,15.1
19720210:0900,12.6
19720211:0900,13.3
19720212:0900,14.7
19720213:0900,14.9
19720214:0900,14.5
19720215:0900,15.1
19720216:0900,14.6
19720217:0900,16.4
19720218:0900,16.4
19720219:0900,18
19720220:0900,17.7
19720221:0900,17.4
19720222:0900,17.4
19720223:0900,17.9
19720224:0900,19.1
19720225:0900,13.5
19720226:0900,15.3
19720227:0900,16.5
19720228:0900,14.2
19720229:0900,15.9
19720301:0900,17.1
19720302:0900,16
19720303:0900,16.6
19720304:0900,18.3
19720305:0900,18.4
19720306:0900,14.1
19720307:0900,13.2
19720308:0900,14.4
19720309:0900,15.5
19720310:0900,16.7
19720311:0900,18
19720312:0900,15.9
19720313:0900,15.4
19720314:0900,12.7
19720315:0900,14.6
19720316:0900,17.1
19720317:0900,16.4
19720318:0900,12.9
19720319:0900,13.8
19720320:0900,15.6
19720321:0900,16.4
19720322:0900,16.2
19720323:0900,17
19720324:0900,17.3
19720325:0900,15.3
19720326:0900,17
19720327:0900,16.2
19720328:0900,16.2
19720329:0900,16.3
19720330:0900,16.8
19720331:0900,15.9
19720401:0900,15.7
19720402:0900,13.3
19720403:0900,14.1
19720404:0900,13.5
19720405:0900,15.6
19720406:0900,15.6
19720407:0900,16
19720408:0900,15.4
19720409:0900,12
19720410:0900,10.7
19720411:0900,12.7
19720412:0900,13.7
19720413:0900,12.4
19720414:0900,10.5
19720415:0900,9.5
19720416:0900,11.4
19720417:0900,9.9
19720418:0900,9.4
19720419:0900,11.4
19720420:0900,10
19720421:0900,10.8
19720422:0900,12.3
19720423:0900,12.7
19720424:0900,13.8
19720425:0900,14.9
19720426:0900,11.9
19720427:0900,9.2
19720428:0900,12.4
19720429:0900,10.4
19720430:0900,8.8
19720501:0900,11.3
19720502:0900,7.6
19720503:0900,9.9
19720504:0900,10.5
19720505:0900,8.2
19720506:0900,10.4
19720507:0900,10.5
19720508:0900,9.4
19720509:0900,8.3
19720510:0900,9.2
19720511:0900,9.8
19720512:0900,10.8
19720513:0900,12.6
19720514:0900,10.6
19720515:0900,9
19720516:0900,10.7
19720517:0900,11.3
19720518:0900,9.6
19720519:0900,9.3
19720520:0900,8.5
19720521:0900,10.8
19720522:0900,6.6
19720523:0900,8.6
19720524:0900,9.5
19720525:0900,7.7
19720526:0900,4.6
19720527:0900,7.5
19720528:0900,9.2
19720529:0900,6.2
19720530:0900,7
19720531:0900,6.6
19720601:0900,4.6
19720602:0900,7.5
19720603:0900,8
19720604:0900,6.8
19720605:0900,4
19720606:0900,7.9
19720607:0900,4.6
19720608:0900,3.5
19720609:0900,5.5
19720610:0900,4.9
19720611:0900,4.9
19720612:0900,8
19720613:0900,7.1
19720614:0900,7.6
19720615:0900,6.2
19720616:0900,5.2
19720617:0900,6.5
19720618:0900,5.4
19720619:0900,2.9
19720620:0900,2.6
19720621:0900,3.8
19720622:0900,2.9
19720623:0900,4.9
19720624:0900,4.4
19720625:0900,2.9
19720626:0900,5
19720627:0900,3.6
19720628:0900,2.5
19720629:0900,2.1
19720630:0900,4
19720701:0900,7.4
19720702:0900,8.4
19720703:0900,7.3
19720704:0900,5.3
19720705:0900,6.7
19720706:0900,5.5
19720707:0900,3.7
19720708:0900,2.8
