Date,Tmax,Tmin
19391231:0900,21.3,14.3
19400101:0900,22.8,14.6
19400102:0900,23.1,11.3
19400103:0900,15.3,7.9
19400104:0900,17.9,9
19400105:0900,20.3,12
19400106:0900,21.2,13.4
19400107:0900,24.1,13.6
19400108:0900,20.6,12.8
19400109:0900,20.6,13.9
19400110:0900,20.7,14.5
19400111:0900,19.9,15.6
19400112:0900,20.3,15.6
19400113:0900,20.8,16.7
19400114:0900,22.3,12.6
19400115:0900,17.2,12.7
19400116:0900,18,11.7
19400117:0900,19.7,11.1
19400118:0900,21.4,13.5
19400119:0900,23.9,14.6
19400120:0900,21.9,14.8
19400121:0900,23.1,16.7
19400122:0900,21.9,16.8
19400123:0900,21.2,16.1
19400124:0900,21.9,15.7
19400125:0900,23.3,17.4
19400126:0900,22.3,13.4
19400127:0900,18.7,13.4
19400128:0900,23.3,14.9
19400129:0900,20,15.6
19400130:0900,20.7,15
19400131:0900,20.1,12.5
19400201:0900,21.1,10
19400202:0900,18.5,11.9
19400203:0900,20.1,12.9
19400204:0900,16.8,10
19400205:0900,20.9,13.3
19400206:0900,21.6,14.7
19400207:0900,18.1,14.1
19400208:0900,18.6,14.1
19400209:0900,18.3,12.1
19400210:0900,19.2,11.8
19400211:0900,17.1,7.8
19400212:0900,16.5,12.7
19400213:0900,19.7,10.8
19400214:0900,17.2,11.2
19400215:0900,17.9,6
19400216:0900,18.2,10.6
19400217:0900,21.8,14.3
19400218:0900,17.9,15.6
19400219:0900,24.3,9.7
19400220:0900,19.2,13.7
19400221:0900,20.9,13
19400222:0900,19.4,11.7
19400223:0900,21.7,11.7
19400224:0900,21.8,16.9
19400225:0900,18.9,12
19400226:0900,21.6,13.1
19400227:0900,17.8,13.1
19400228:0900,18.9,14.5
19400229:0900,18.6,15.6
19400301:0900,19.4,15.6
19400302:0900,17.2,11.2
19400303:0900,21.7,13.3
19400304:0900,18.7,13.2
19400305:0900,18.2,8.9
19400306:0900,17.9,11.4
19400307:0900,16.7,12.4
19400308:0900,16.9,8.9
19400309:0900,17.8,7.4
19400310:0900,20,11.1
19400311:0900,16,6
19400312:0900,13.9,6.2
19400313:0900,17.9,12.7
19400314:0900,22,8.3
19400315:0900,19.8,12.9
19400316:0900,16.5,12.3
19400317:0900,18.7,8.6
19400318:0900,18.4,10.7
19400319:0900,18.4,11.7
19400320:0900,15.1,12.8
19400321:0900,16.1,14.1
19400322:0900,18,9.4
19400323:0900,13.2,8.2
19400324:0900,16.3,6.6
19400325:0900,20.8,10.4
19400326:0900,16.7,12.2
19400327:0900,17.4,8.4
19400328:0900,14.1,7.6
19400329:0900,15.9,11.3
19400330:0900,20.2,9.2
19400331:0900,19.6,11.1
19400401:0900,15.3,13.2
19400402:0900,16.2,9.9
19400403:0900,17.3,7.7
19400404:0900,11.9,4.3
19400405:0900,15.3,9.7
19400406:0900,16.3,12.2
19400407:0900,16.6,11.2
19400408:0900,19.3,6.4
19400409:0900,16.4,11.2
19400410:0900,14.4,10.4
19400411:0900,11.8,7.7
19400412:0900,12.2,5.7
19400413:0900,12.7,8.7
19400414:0900,12.7,8.8
19400415:0900,15.3,8.4
19400416:0900,13.9,10
19400417:0900,16.2,11.1
19400418:0900,14.6,9.3
19400419:0900,13,10.1
19400420:0900,12.3,8.9
19400421:0900,11.9,7.7
19400422:0900,12.5,7.9
19400423:0900,13,4.1
19400424:0900,14.9,5.6
19400425:0900,14.4,8.9
19400426:0900,18.2,11.2
19400427:0900,16.3,5.5
19400428:0900,10.9,5.2
19400429:0900,10.4,6.2
19400430:0900,12.8,8.1
19400501:0900,13.4,8.9
19400502:0900,14.7,9.3
19400503:0900,14.4,8.4
19400504:0900,17.7,12.6
19400505:0900,17.5,11.1
19400506:0900,11.9,5.7
19400507:0900,10.1,5.6
19400508:0900,11.4,7.6
19400509:0900,10.6,6.6
19400510:0900,10.5,8.2
19400511:0900,10.1,7.8
19400512:0900,11.6,4.7
19400513:0900,13.7,6.1
19400514:0900,14.9,5.6
19400515:0900,9.3,3.2
19400516:0900,13.4,7.3
19400517:0900,16,10
19400518:0900,14,10.9
19400519:0900,12.7,9.4
19400520:0900,11.8,5.7
19400521:0900,8.4,5.6
19400522:0900,10.8,6.8
19400523:0900,11.7,5.1
19400524:0900,12.3,6.5
19400525:0900,12.1,6.1
19400526:0900,14.7,10.4
19400527:0900,11.7,7.3
19400528:0900,8,5.1
19400529:0900,7.8,3.9
19400530:0900,9.6,3.6
19400531:0900,10.1,3.6
19400601:0900,11.2,6.7
19400602:0900,15.2,10
19400603:0900,13.2,8.9
19400604:0900,12.7,7.5
19400605:0900,12.9,1.6
19400606:0900,10.1,2.9
19400607:0900,12.1,6
19400608:0900,13.9,4.4
19400609:0900,12.4,10.4
19400610:0900,12.9,7.5
19400611:0900,11,6.2
19400612:0900,12.1,6.1
19400613:0900,12.6,4.9
19400614:0900,12.2,5
19400615:0900,11.8,4.3
19400616:0900,11.3,4
19400617:0900,11.9,5.1
19400618:0900,11.8,8.3
19400619:0900,14.8,6.7
19400620:0900,11.2,7.6
19400621:0900,9.3,2.2
19400622:0900,10.2,3.9
19400623:0900,10.6,7.8
19400624:0900,11.1,7.3
19400625:0900,12.2,5
19400626:0900,15.3,5.2
19400627:0900,14.3,6.2
19400628:0900,10.6,6.1
19400629:0900,10.1,7.1
19400630:0900,9.7,4.7
19400701:0900,8.8,3.2
19400702:0900,7.8,2.5
19400703:0900,10.9,6.4
19400704:0900,10.7,7.3
19400705:0900,11.6,5.9
19400706:0900,9.6,6.6
19400707:0900,9.7,3.4
19400708:0900,7.5,3.4
19400709:0900,7.7,4
19400710:0900,8.8,3.3
19400711:0900,10.7,4.4
19400712:0900,10.8,7.5
19400713:0900,12.4,6.8
19400714:0900,12.9,5.4
19400715:0900,12.2,6.9
19400716:0900,11.3,3.9
19400717:0900,9.7,5
19400718:0900,10.7,4.3
19400719:0900,11.9,3.4
19400720:0900,13.3,3.8
19400721:0900,13.3,6.8
19400722:0900,12.7,7.2
19400723:0900,12.7,3.2
19400724:0900,12.6,1.1
19400725:0900,11.1,3.2
