Sample,SiO2 (wt%),TiO2 (wt%),Al2O3 (wt%),Fe2O3 (T) (wt%),MnO (wt%),MgO (wt%),CaO (wt%),Na2O (wt%),K2O (wt%),P2O5 (wt%),BaXRF (ppm),Sc (ppm),Zn (ppm),Ga (ppm),Rb (ppm),Sr (ppm),Y (ppm),Zr (ppm),Nb (ppm),Ba (ICP) (ppm),La (ppm),Ce (ppm),Pr (ppm),Nd (ppm),Sm (ppm),Eu (ppm),Gd (ppm),Tb (ppm),Dy (ppm),Ho (ppm),Er (ppm),Tm (ppm),Yb (ppm),Lu (ppm),Hf (ppm),Pb (ppm),Th (ppm),U (ppm)
YP114,72.98,0.26,13.56,2.96,0.05,0.08,0.82,4.05,5.22,0.04,2398,3.2,95,25,124,60,53,347,46,2460,78,172,17.0,63,12.2,3.6,13.1,2.1,11.2,2.20002,6.4,0.89,5.7,0.82957,9.8,25,19.36672,2.2
YP307,76.50,0.13,11.85,1.70,0.04,0.08,1.15,2.87,5.67,0.02,889,1.8,64,20,153,29,55,161,48,795,90,170,18.2,64,11.9,1.37,11.8,1.86,10.1,1.9,6.0,0.82,5.3,0.88,6.0,40,23,4.5
YP359,74.56,0.17,12.83,2.06,0.04,0.23,1.28,2.95,5.86,0.03,1575,2.3,78,21,130,45,51,200,45,1413,104,197,21,75,13.4,2.0,13.1,1.89,9.8,1.9,5.6,0.75,4.9,0.85,6.8,55,23,3.8
YP363,76.61,0.12,12.06,1.73,0.04,0.04,0.69,2.78,5.94,0.01,518,1.6,62,19,142,18.1,57,169,48,454,77,148,16.2,57,11.5,0.95,11.6,1.87,10.5,2.1,6.3,0.89,5.6,1.02,6.6,38,23,5.1
YP414,76.08,0.14,12.14,1.79,0.04,0.06,0.96,2.77,5.99,0.02,1150,1.6,83,18,125,32,46,176,41,972,80,152,16.1,57,10.9,1.48,10.6,1.65,8.9,1.73,5.3,0.73,4.6,0.84,6.4,28,20,4.0
YP457,74.10,0.21,12.73,2.46,0.05,0.09,1.19,2.98,6.16,0.03,1737,2.3,126,19,110,38,46,283,40,1453,82,158,17.0,61,11.5,2.0,10.9,1.70,9.0,1.74,5.3,0.72,4.7,0.93,8.7,38,18.4,3.6
YP459,77.30,0.12,11.69,1.59,0.03,0.07,0.70,2.86,5.64,0.02,676,1.4,56,18,124,21,50,158,45,566,70,136,14.4,50,10.4,1.00,10.3,1.68,9.5,1.84,5.7,0.80,5.1,0.96,6.3,31,20,4.7
YP579,76.89,0.13,11.89,1.76,0.04,0.11,0.72,2.64,5.83,0.01,537,2.0,66,20,162,23,60,170,52,525,95,181,19.9,70,13.2,1.07,12.9,2.0,11.0,2.2,6.4,0.90,5.7,0.94,6.4,36,25,5.0
YP251,75.01,0.17,12.72,2.14,0.05,0.05,0.80,3.58,5.45,0.03,1358,2.1,70,20,119,34,52,222,46,1204,90,176,18.8,67,12.3,1.8,12.2,1.86,9.9,1.93,5.8,0.80,5.1,0.91,7.5,28,21,4.0
YP254,74.25,0.20,12.92,2.35,0.05,0.08,1.07,3.73,5.34,0.03,1792,2.8,78,22,129,49,53,275,46,1680,94,177,19.5,70,13.0,2.4,12.8,1.93,10.2,1.95,5.9,0.80,5.2,0.87,8.5,26,20,3.8
