Fault ID,Relative Fault Length,StartX,StartY,EndX,EndY,Strike
404,0.023976,40.7928,13.3795,40.7869,13.4021,165.848768
405,0.008062,40.7944,13.3777,40.7985,13.3710,148.9769867
406,0.003065,40.7949,13.3788,40.7965,13.3763,148.0182239
407,0.007603,40.8025,13.3736,40.7980,13.3795,143.2226593
408,0.002570,40.7992,13.3757,40.8006,13.3735,149.3754413
409,0.001662,40.7972,13.3762,40.7982,13.3749,142.740058
410,0.005646,40.8009,13.3745,40.7975,13.3788,142.2611294
411,0.002171,40.7977,13.3783,40.7964,13.3800,143.5467534
412,0.001581,40.7956,13.3813,40.7964,13.3799,150.1303482
413,0.004793,40.7979,13.3806,40.8008,13.3770,141.2694911
414,0.001969,40.7998,13.3780,40.8009,13.3764,146.4504027
415,0.002475,40.7969,13.3825,40.7986,13.3808,135.5994083
416,0.003145,40.7939,13.3834,40.7959,13.3811,140.2994195
417,0.002066,40.7946,13.3834,40.7961,13.3820,135.3951248
418,0.002067,40.8023,13.3756,40.8034,13.3739,149.2229019
419,0.001243,40.8023,13.3760,40.8029,13.3749,154.0173894
420,0.001452,40.8015,13.3771,40.8023,13.3759,146.1163745
421,0.000595,40.8020,13.3761,40.8024,13.3756,141.500119
422,0.000579,40.8009,13.3781,40.8012,13.3776,151.7359605
423,0.001541,40.8003,13.3790,40.8012,13.3778,144.9524174
424,0.001576,40.7994,13.3808,40.8002,13.3796,145.4717832
425,0.003811,40.7921,13.3809,40.7925,13.3771,173.8286058
426,0.012293,40.7888,13.3820,40.7858,13.3937,165.5765061
427,0.002647,40.7891,13.3911,40.7886,13.3937,168.3073495
428,0.003909,40.7889,13.3910,40.7893,13.3872,174.323889
429,0.001385,40.7890,13.3887,40.7886,13.3900,163.7215225
430,0.003310,40.7892,13.3886,40.7897,13.3854,172.4248142
431,0.001279,40.7872,13.3962,40.7876,13.3950,164.6455964
432,0.001235,40.7871,13.3961,40.7874,13.3950,164.4053542
433,0.000719,40.7863,13.3958,40.7864,13.3951,173.0056552
434,0.001147,40.7868,13.3971,40.7872,13.3961,160.2539626
435,0.001290,40.7870,13.3981,40.7874,13.3969,163.9445698
436,0.000435,40.7872,13.3965,40.7873,13.3961,159.821205
437,0.000456,40.7874,13.3963,40.7875,13.3958,169.0386024
438,0.001591,40.7867,13.3984,40.7872,13.3969,162.94559
439,0.001103,40.7868,13.3993,40.7871,13.3983,162.5209598
440,0.001649,40.7862,13.3986,40.7868,13.3971,158.2597875
441,0.001821,40.7861,13.3986,40.7868,13.3969,158.5522572
442,0.001645,40.7860,13.3986,40.7865,13.3970,161.4345605
443,0.000942,40.7861,13.3983,40.7865,13.3974,155.6113666
444,0.001473,40.7873,13.4019,40.7870,13.4033,167.7955711
445,0.001571,40.7840,13.3995,40.7839,13.4010,173.8753712
446,0.023110,40.7839,13.4000,40.7750,13.4205,157.0152906
447,0.000669,40.7749,13.4207,40.7746,13.4213,159.3610271
448,0.000508,40.7749,13.4208,40.7748,13.4212,159.1127999
449,0.004730,40.7741,13.4219,40.7763,13.4179,151.6882386
450,0.000649,40.7762,13.4184,40.7766,13.4179,147.8054119
451,0.000434,40.7765,13.4179,40.7768,13.4176,131.8937548
452,0.001093,40.7790,13.4142,40.7793,13.4132,163.0117523
453,0.000372,40.7803,13.4088,40.7805,13.4085,144.6068438
454,0.000656,40.7820,13.4050,40.7816,13.4055,151.2392488
455,0.000567,40.7836,13.4020,40.7839,13.4015,154.3869762
456,0.000388,40.7839,13.4015,40.7838,13.4019,157.6878828
457,0.034986,40.7895,13.3684,40.7803,13.4014,164.9006824
458,0.001574,40.7806,13.4011,40.7801,13.4026,160.7244348
459,0.000386,40.7805,13.4018,40.7806,13.4015,160.6929456
460,0.000962,40.7802,13.4026,40.7795,13.4032,135.960132
461,0.000588,40.7795,13.4037,40.7791,13.4041,142.430714
462,0.001621,40.7791,13.4071,40.7795,13.4056,163.7532212
463,0.000787,40.7792,13.4071,40.7795,13.4064,159.8600461
464,0.001069,40.7785,13.4064,40.7789,13.4055,158.3573179
465,0.001026,40.7784,13.4064,40.7787,13.4055,158.0077233
466,0.001067,40.7783,13.4070,40.7787,13.4061,154.0139268
467,0.001660,40.7773,13.4077,40.7784,13.4065,139.6715552
468,0.000922,40.7781,13.4076,40.7785,13.4068,154.41074
469,0.001560,40.7782,13.4073,40.7772,13.4085,142.2967904
470,0.000525,40.7776,13.4076,40.7773,13.4080,141.3606521
471,0.000922,40.7766,13.4091,40.7771,13.4084,142.8169137
472,0.002414,40.7763,13.4070,40.7747,13.4088,139.0401011
473,0.000359,40.7758,13.4076,40.7761,13.4074,125.9672946
474,0.001083,40.7745,13.4091,40.7752,13.4083,139.2195852
475,0.000886,40.7742,13.4098,40.7747,13.4091,148.1142165
476,0.000976,40.7742,13.4101,40.7747,13.4092,150.7889154
477,0.010688,40.7781,13.3489,40.7743,13.3586,159.1634812
478,0.004961,40.7736,13.3591,40.7725,13.3638,166.5883268
479,0.004903,40.7772,13.3491,40.7748,13.3533,149.9418084
480,0.002692,40.7753,13.3525,40.7742,13.3549,157.142742
481,0.001515,40.7741,13.3560,40.7745,13.3545,165.3853023
482,0.000719,40.7753,13.3522,40.7749,13.3528,148.3471143
483,0.004176,40.7746,13.3531,40.7725,13.3567,150.1966254
484,0.000678,40.7720,13.3576,40.7721,13.3570,169.3699337
485,0.001374,40.7720,13.3571,40.7716,13.3584,163.7615858
486,0.001935,40.7716,13.3582,40.7709,13.3599,159.8652623
487,0.002571,40.7715,13.3585,40.7706,13.3608,157.653092
488,0.001898,40.7708,13.3598,40.7703,13.3616,165.1978803
489,0.001241,40.7729,13.3619,40.7732,13.3607,170.0609692
490,0.001644,40.7734,13.3600,40.7743,13.3587,147.2294547
491,0.005408,40.7732,13.3499,40.7712,13.3548,158.6376325
492,0.001787,40.7731,13.3521,40.7737,13.3505,161.4553394
493,0.001214,40.7733,13.3520,40.7728,13.3530,156.0529678
494,0.001065,40.7733,13.3515,40.7728,13.3524,149.1739087
495,0.002366,40.7714,13.3547,40.7709,13.3569,167.0380678
496,0.001905,40.7710,13.3556,40.7704,13.3573,161.9235557
497,0.002174,40.7705,13.3569,40.7697,13.3589,159.4755102
498,0.001522,40.7680,13.3617,40.7688,13.3604,151.1142346
499,0.001989,40.7704,13.3639,40.7703,13.3620,3.490964267
500,0.001763,40.7700,13.3623,40.7698,13.3641,174.2008665
501,0.006601,40.7637,13.3678,40.7606,13.3735,152.2255188
502,0.007082,40.7605,13.3734,40.7577,13.3797,156.0581598
503,0.002176,40.7569,13.3798,40.7579,13.3779,153.0076213
504,0.005028,40.7600,13.3802,40.7578,13.3846,154.6893419
505,0.003127,40.7582,13.3834,40.7572,13.3864,162.8765192
506,0.005113,40.7576,13.3848,40.7557,13.3895,157.9677837
507,0.001861,40.7563,13.3895,40.7567,13.3877,165.546642
508,0.002832,40.7689,13.3676,40.7680,13.3702,160.8759918
509,0.001759,40.7680,13.3697,40.7674,13.3713,161.9649948
510,0.000980,40.7673,13.3717,40.7670,13.3726,161.0635108
511,0.001537,40.7655,13.3765,40.7651,13.3780,167.2492315
