Drilled depth (m),Tilt (Degrees),Distance E (m),Distance N (m),True Vertical Depth (m),Temperature (degrees C)
0,0.024,0,0,0,nan
1,0.026,0,0,1,11.059
2,0.03,-0.001,0,2,10.564
3,0.034,-0.001,-0.001,3,10.121
4,0.039,-0.002,-0.001,4,9.798
5,0.043,-0.002,-0.001,5,9.679
6,0.048,-0.003,-0.002,6,9.61
7,0.054,-0.004,-0.002,7,9.603
8,0.059,-0.005,-0.003,8,9.614
9,0.065,-0.006,-0.003,9,9.621
10,0.072,-0.007,-0.004,10,9.623
11,0.078,-0.008,-0.004,11,9.628
12,0.085,-0.009,-0.005,12,9.635
13,0.092,-0.011,-0.006,13,9.637
14,0.099,-0.012,-0.007,14,9.655
15,0.106,-0.014,-0.008,15,9.679
16,0.113,-0.015,-0.008,16,9.692
17,0.12,-0.017,-0.009,17,9.754
18,0.127,-0.019,-0.01,18,9.874
19,0.134,-0.021,-0.012,19,10.034
20,0.141,-0.023,-0.013,20,10.14
21,0.148,-0.025,-0.014,21,10.197
22,0.155,-0.028,-0.015,22,10.261
23,0.163,-0.03,-0.017,23,10.327
24,0.17,-0.033,-0.018,24,10.409
25,0.177,-0.035,-0.019,25,10.472
26,0.184,-0.038,-0.021,26,10.543
27,0.191,-0.041,-0.023,27,10.622
28,0.198,-0.044,-0.024,28,10.714
29,0.205,-0.047,-0.026,29,10.758
30,0.212,-0.05,-0.028,30,10.771
31,0.219,-0.053,-0.03,31,10.782
32,0.226,-0.057,-0.031,32,10.821
33,0.233,-0.06,-0.033,33,10.904
34,0.24,-0.064,-0.035,34,10.964
35,0.247,-0.068,-0.037,35,10.961
36,0.254,-0.071,-0.04,36,10.987
37,0.262,-0.075,-0.042,37,11.019
38,0.269,-0.079,-0.044,38,11.068
39,0.276,-0.083,-0.046,39,11.092
40,0.284,-0.088,-0.049,40,11.131
41,0.293,-0.092,-0.051,41,11.202
42,0.305,-0.097,-0.054,42,11.227
43,0.319,-0.101,-0.056,43,11.25
44,0.333,-0.106,-0.059,44,11.311
45,0.346,-0.112,-0.062,45,11.335
46,0.359,-0.117,-0.065,46,11.388
47,0.372,-0.123,-0.068,47,11.457
48,0.383,-0.128,-0.071,48,11.557
49,0.394,-0.134,-0.074,49,11.704
50,0.405,-0.14,-0.078,50,11.841
51,0.416,-0.147,-0.081,51,11.963
52,0.427,-0.153,-0.085,52,12.122
53,0.439,-0.16,-0.088,53,12.267
54,0.452,-0.167,-0.092,54,12.406
55,0.464,-0.174,-0.096,55,12.563
56,0.475,-0.181,-0.1,56,12.716
57,0.487,-0.188,-0.104,57,12.865
58,0.5,-0.196,-0.108,58,12.974
59,0.516,-0.203,-0.113,59,13.107
60,0.533,-0.211,-0.117,60,13.297
61,0.548,-0.22,-0.122,61,13.535
62,0.563,-0.228,-0.126,62,13.822
63,0.578,-0.237,-0.131,63,14.018
64,0.593,-0.246,-0.136,64,14.162
65,0.609,-0.255,-0.141,65,14.273
66,0.623,-0.264,-0.146,65.999,14.341
67,0.634,-0.274,-0.152,66.999,14.365
68,0.643,-0.284,-0.157,67.999,14.39
69,0.651,-0.293,-0.163,68.999,14.408
70,0.66,-0.303,-0.168,69.999,14.455
71,0.669,-0.314,-0.174,70.999,14.541
72,0.678,-0.324,-0.179,71.999,14.722
73,0.689,-0.334,-0.185,72.999,15.16
74,0.701,-0.345,-0.191,73.999,15.821
75,0.711,-0.356,-0.197,74.999,16.252
76,0.722,-0.367,-0.203,75.999,16.633
77,0.734,-0.378,-0.209,76.999,17.019
78,0.745,-0.389,-0.216,77.999,17.338
79,0.757,-0.401,-0.222,78.999,17.664
80,0.769,-0.412,-0.228,79.999,17.983
81,0.782,-0.424,-0.235,80.998,18.272
82,0.794,-0.436,-0.242,81.998,18.546
83,0.805,-0.448,-0.248,82.998,18.835
84,0.814,-0.461,-0.255,83.998,19.092
85,0.819,-0.473,-0.262,84.998,19.328
86,0.826,-0.486,-0.269,85.998,19.582
87,0.835,-0.498,-0.276,86.998,19.865
88,0.857,-0.511,-0.283,87.998,20.124
89,0.889,-0.525,-0.291,88.998,20.355
90,0.902,-0.538,-0.298,89.997,20.601
91,0.907,-0.552,-0.306,90.997,20.841
92,0.913,-0.566,-0.313,91.997,21.076
93,0.92,-0.58,-0.321,92.997,21.325
94,0.926,-0.594,-0.329,93.997,21.575
95,0.933,-0.608,-0.337,94.997,21.796
96,0.94,-0.623,-0.345,95.997,22.037
97,0.946,-0.637,-0.353,96.996,22.277
98,0.952,-0.651,-0.361,97.996,22.491
99,0.959,-0.666,-0.369,98.996,22.726
100,0.966,-0.681,-0.377,99.996,22.951
101,0.973,-0.696,-0.385,100.996,23.178
102,0.979,-0.71,-0.393,101.996,23.416
103,0.984,-0.725,-0.402,102.996,23.64
104,0.988,-0.74,-0.41,103.996,23.858
105,0.993,-0.756,-0.418,104.995,24.072
106,0.997,-0.771,-0.427,105.995,24.283
107,1.001,-0.786,-0.435,106.995,24.488
108,1.005,-0.801,-0.444,107.995,24.707
109,1.01,-0.817,-0.452,108.995,24.918
