Analysis,Horizon,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Rb,Sr,Zr,Nb,Ba,La,Yb,Pb,Th,U
EYS1_1,A,76.95,0.09,12.28,1.36,0.02,0.03,0.57,3.32,5.38,244,3.6,209,65,52,79,8.3,47,31,8.2
EYS1_10,A,76.96,0.08,12.19,1.39,0.02,0.03,0.57,3.56,5.19,241,3.4,226,67,43,84,8.9,42,33,8.2
EYS1_11,A,77.32,0.08,12.28,1.22,0.02,0.03,0.56,3.36,5.13,260,2.0,177,71,19,46,11.2,45,33,9.2
EYS1_11_2,A,77.22,0.08,12.37,1.16,0.02,0.03,0.54,3.61,4.97,278,1.9,175,74,20,46,9.6,49,34,9.4
EYS1_15,A,77.59,0.08,12.11,1.22,0.02,0.03,0.50,3.36,5.10,244,3.5,213,64,48,74,7.6,53,32,8.3
EYS1_19_2,A,76.98,0.08,12.62,1.22,0.02,0.03,0.55,3.54,4.95,268,2.3,182,70,18,44,9.4,48,33,8.8
EYS1_2,A,76.78,0.09,12.24,1.33,0.02,0.03,0.54,3.60,5.38,219,6.1,225,61,125,93,8.4,39,31,7.7
EYS1_20,A,76.94,0.08,12.28,1.28,0.02,0.03,0.55,3.58,5.24,246,3.0,217,68,52,78,7.9,47,35,8.5
EYS1_23,A,77.58,0.08,12.45,1.25,0.02,0.03,0.57,3.00,5.01,265,2.2,156,67,18,44,7.9,49,28,8.4
EYS1_24,A,77.04,0.08,12.41,1.18,0.02,0.03,0.58,3.51,5.15,263,1.8,161,68,13,39,9.8,49,31,8.9
EYS1_25,A,77.45,0.08,12.12,1.38,0.02,0.03,0.55,3.23,5.15,250,6.2,236,66,52,87,8.5,46,35,9.6
EYS1_27,A,77.44,0.08,12.24,1.35,0.02,0.02,0.53,3.35,4.96,243,3.3,220,71,46,82,9.0,47,33,9.3
EYS1_28,A,77.02,0.08,12.51,1.28,0.02,0.03,0.60,3.43,5.03,251,2.1,155,71,18,38,7.5,47,26,8.1
EYS1_29,A,77.16,0.08,12.40,1.25,0.02,0.03,0.57,3.45,5.04,275,3.6,164,72,24,45,8.8,45,29,8.4
